Time,Time (ms),Motor speed (rpm),BLDC Q curent for monitoring,Filtered Q current (A),BLDC Ph A amps (abs) (A),BLDC Ph B amps (abs) (A),BLDC Ph C amps (abs) (A),Purge pressure (mHg),ivp purge temperature (C),Purge add flow rate (mlph),Purge add speed (rpm),Purge circulate flow rate (mlph),Purge circulate speed (rpm),BLDC watts (W),Flow_Original (lpm),Input pressure (mmHg),Output pressure (mmHg),Net pressure (mmHg),Flow (lpm),,,,
Mon Jan 30 2023,238336,19998.99,0.6054622,0.6059305,0.4175038,0.4369834,0.4302699,96.2,24.5,20,9.621398,800,103.1779,6.373222,3.946944824,-16.7488398,-56.479518,-36.8006782,4.19539476,,,,
Mon Jan 30 2023,244477,19999.76,0.6036942,0.6043482,0.4167057,0.4350421,0.4311155,90.3,24.5,20,9.621398,800,103.1779,6.325954,3.909778809,-17.4238938,-54.75438,-34.4004862,4.154789477,,,,
Mon Jan 30 2023,250617,20001.85,0.6040696,0.6052647,0.418187,0.4362038,0.4310056,93.3,24.5,20,9.621398,800,103.1779,6.298936,3.927617188,-17.026362,-55.50444,-35.548078,4.174278584,,,,
Mon Jan 30 2023,256758,19998.23,0.6045094,0.6043872,0.4159235,0.4351998,0.4295459,93.4,24.5,20,9.621398,800,103.1779,6.422559,4.008299561,-17.063865,-58.204656,-38.210791,4.262427139,,,,
Mon Jan 30 2023,262898,20000.95,0.602037,0.6018519,0.4168465,0.4345474,0.4277986,87.4,24.5,20,9.621398,800,103.1779,6.42477,4.009426514,-17.62641,-57.154572,-36.598162,4.263658378,,,,
Mon Jan 30 2023,269039,19999.12,0.603716,0.6044471,0.4165278,0.4348885,0.4286893,91.3,24.5,20,9.621398,800,103.1779,6.293088,4.052801514,-17.6189094,-59.854788,-39.3058786,4.311047213,,,,
Mon Jan 30 2023,275179,19999.61,0.6049353,0.605018,0.4183751,0.4357218,0.4310136,87.1,24.5,20,9.621398,800,103.1779,6.488972,4.029926758,-17.0113608,-60.229818,-40.2884572,4.286055673,,,,
Mon Jan 30 2023,281321,20003.06,0.6034193,0.6038896,0.4167516,0.434218,0.4294881,89.1,24.6,20,9.621398,800,103.1779,6.455676,4.090321289,-17.6189094,-60.904872,-40.3559626,4.352038992,,,,
Mon Jan 30 2023,287460,19999.71,0.6033974,0.6037669,0.4152353,0.4344796,0.4283427,84,24.6,20,9.621398,800,103.1779,6.358358,4.113741699,-17.7464196,-64.13013,-43.4537104,4.377626679,,,,
Mon Jan 30 2023,293587,19995.86,0.6058023,0.606428,0.4154963,0.4336596,0.4289539,86.1,24.6,20,9.621398,800,103.1779,6.561402,4.091233154,-18.601488,-63.080046,-41.548558,4.353035239,,,,
